Webb_TPP,Savitski_TPP,Kinobeads,iTSA_52,iTSA_48,iTSA_56,iTSA_ALL
CMYA5;,LYN;,CSNK1G1;,RPS6KB1;,PLK1;,CCNB1;,CDK2;
CSK;,PRKCQ;,CSNK1E;,AAK1;,CSK;,CHEK2;,Q6ZSR9;
MAPK8;,MKNK1;,MAP3K1;,MAPKAPK2;,MASTL;,SIK3;,AAK1;
TLK1;,CCNC;,PIP4K2A;,CHEK2;,PRKAR2A;,ADRBK1;,BMP2K;
ADRBK1;,STK24;,SRC;,TNIK;,PHKB;,SRPK2;,PAK4;
IRAK4;,RPS6KA5;,ARAF;,MAP2K7;,MAP2K7;,CDK5;,PHKG2;
MRPL37;,MATK;,MAPK8;,CAMKK1;,CDK6;,PRKACG;,STK17B;
ZNF326;,MAP2K4;,MAP2K4;,CDK9;,PRKCA;,TLK1;,CAMK2G;
PAPD4;,PRKAR2B;,WEE1;,CAMK1;,RPS6KA3;,STK4;,SIK3;
FER;,PKN1;,PIP4K2B;,CDK16;,CHEK2;,MAP2K2;,AURKA;
PCTP;,PDPK1;,ABL2;,DYRK1A;,GSK3A;,PI4KB;,MARCKSL1;
MAPK12;,TTK;,ABL1;,MASTL;,MOB2;,STK24;,TANK;
ARHGEF18;,STK38;,CSNK2A2;,PRKAR2A;,TBK1;,AAK1;,PRKCI;
PRPF4B;,MARK3;,B2R6D7;,GSK3B;,PIM2;,SLK;,HEBP1;
TBC1D32;,IRAK1;,CDK12;,MKNK2;,STK4;,CDK6;,PRKCD;
PITX1;,SGK3;,CSK;,PRKX;,PHKG2;,CDK9;,MAPK1;
SRPK1;,MARK2;,BCR;,STK25;,CDK2;,CDK17;,ZAK;
CDC42BPA;,VRK1;,YES1;,TTK;,PDCD10;,DCAF7;,TAOK1;
MAST4;,OSBPL3;,FYN;,CAMK2G;,TLK2;,MAPK8;,PRKAG1;
,PRKCE;,BTK;,RPS6KA1;,TTK;,CDK12;,PI4KB;
,TNIK;,TGFBR1;,CHEK1;,LATS1;,CAMK1;,DYRK1A;
,CHEK2;,MAP2K1;,STK3;,PHKA2;,PRKAB1;,RAI14;
,CCNB2;,LYN;,SLK;,STK10;,TTK;,ROCK1;
,CDK17;,MAP3K2;,CDK8;,PRKACA;,PRKAR2A;,SNX17;
